period,currency_id,currency_name_th,currency_name_eng,buying_sight,buying_transfer,selling,mid_rate
2015-11-20,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.4844,35.5783,35.8992,35.7388
2015-11-19,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.673,35.7653,36.09,35.9277
2015-11-18,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.77,35.8616,36.1731,36.0174
2015-11-17,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.7064,35.799,36.1286,35.9638
2015-11-16,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.7052,35.7972,36.1169,35.9571
2015-11-13,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.6113,35.7046,36.0218,35.8632
2015-11-12,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.5668,35.6614,35.9721,35.8168
2015-11-11,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.5964,35.69,36.0089,35.8495
2015-11-10,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.6447,35.7359,36.057,35.8965
2015-11-09,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.5775,35.661,36.0017,35.8314
2015-11-06,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.3158,35.4059,35.7234,35.5647
2015-11-05,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.2911,35.382,35.69,35.536
2015-11-04,USD,สหรัฐอเมริกา : ดอลลาร์ (USD),USA : DOLLAR (USD) ,35.2786,35.3729,35.6758,35.5244
